"","X.2","X.1","X","Net","Net_index","Start_Time_hh","Start_Time_mm","End_Time_hh","End_Time_mm","Year.XXXX.","Month.XX.","Day.XX.","Fishermen","Fishing_field","Depth","Distance_to_Shore","Commants","Storm","Speed","High_Sea","Net_Type","box_only","night_drag_prawn","Many.Nasralas","Very_weak","Missing","Comments","Draging_time","Site","Direction","Lat_shore","Lon_shore","Perpendicular","Eer","Sig","Mme","Nra","Aal","BOX","Pse","Eha","Pca","FIS","Per","Rrh","Psa","Sd","Lvu","WHT","SPH","Lmo","Arg","Sso","Ovu","Sco","Umo","Dce","Bbo","SPI","Sof","DIP","SAR","Sja","Sha","Lbu","MUL_UP","SPL","TRA","BAT","Ssi","Ccr","Pin","Plo","Bca","EPI","MUL","Pja","Sau","Sud","Upo","Depth_m","Distance_from_shore_km","Depth_specifyed","Distance_specifyed","Location_specifyed","Lon_final","Lat_final","Depth_diff","loc_DEPTH"
"31",31,31,31,3672,"3672_6_5_2018",1,45,"6","0",2018,5,6,"Levi","Ashdod S",16,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,4.25,"Ashdod","S",31.83,34.63,301,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,28.8,NA,TRUE,NA,TRUE,34.6209450012234,31.8346445195994,0.488891706630305,28.3111082933697
"32",32,32,32,2719,"2719_14_3_2017",22,15,"3","0",2017,3,14,"Levi","Ashdod S",17,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,4.75,"Ashdod","S",31.83,34.63,301,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,30.6,NA,TRUE,NA,TRUE,34.6245671095692,31.8327867894934,0.100151384910163,23.7763490877337
"33",33,33,33,3354,"3354_18_12_2017",11,30,"17","0",2017,12,18,"Michael","Ashdod",19,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,5.5,"Ashdod",NA,31.83,34.63,301,0,0,0,30,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,34.2,NA,TRUE,NA,TRUE,34.607360802356,31.8416100841941,0.289713544556285,34.4897135445563
"34",34,34,34,1446,"1446_28_7_2015",20,45,"3","30",2015,7,28,"Michael","Ashdod S",17.5,NA,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,"FALSE",FALSE,FALSE,NA,6.75,"Ashdod","S",31.83,34.63,301,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,0,31.5,NA,TRUE,NA,TRUE,34.6109834549563,31.8397527428669,0.251504283764611,31.7515042837646
"35",35,35,35,846,"846_20_10_2014",10,45,"14","30",2014,10,20,"Levi","Ashdod S",13,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,3.75,"Ashdod","S",31.83,34.63,301,0,0,0,0,0,10,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,20,0,0,0,0,0,0,0,0,0,23.4,NA,TRUE,NA,TRUE,34.6263781093235,31.8318578855721,0.376349087733704,23.7763490877337
"36",36,36,36,452,"452_22_4_2014",20,0,"5","15",2014,4,22,"Doli","Ashdod S",NA,7,NA,FALSE,NA,FALSE,"Gambari",FALSE,FALSE,"FALSE",FALSE,FALSE,NA,9.25,"Ashdod","S",31.83,34.63,301,0,0,0,0,0,0,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,NA,12.6,NA,TRUE,TRUE,34.515840697186,31.8884735544725,NA,76.9156470927451
"37",37,37,37,2408,"2408_30_10_2016",10,15,"14","15",2016,10,30,"Michael","Ashdod S",20,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,4,"Ashdod","S",31.83,34.63,301,0,0,0,30,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,30,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,36,NA,TRUE,NA,TRUE,34.6037380046017,31.8434673218195,0.227482288352903,35.7725177116471
"38",38,38,38,1717,"1717_30_10_2015",16,30,"19","30",2015,10,30,"Levi","Ashdod N",22,48,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,3,"Ashdod","N",31.83,34.63,301,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,39.6,86.4,TRUE,TRUE,TRUE,34.5783743553149,31.856465080584,0.180158153497693,39.7801581534977
"39",39,39,39,92,"92_31_10_2013",23,15,"3","15",2013,10,31,"Doli","Ashdod N",NA,36,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,4,"Ashdod","N",31.83,34.63,301,0,0,0,0,0,0,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,NA,64.8,NA,TRUE,TRUE,34.0413556324796,32.1296178538766,NA,NA
"40",40,40,40,3809,"3809_28_6_2018",12,45,"17","30",2018,6,28,"Michael","Ashdod S",16,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,4.75,"Ashdod","S",31.83,34.63,301,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8,NA,TRUE,NA,TRUE,34.6209450012234,31.8346445195994,0.488891706630305,28.3111082933697
