"","X","Net","Net_index","Start_Time_hh","Start_Time_mm","End_Time_hh","End_Time_mm","Year.XXXX.","Month.XX.","Day.XX.","Fishermen","Fishing_field","Depth","Distance_to_Shore","Commants","Storm","Speed","High_Sea","Net_Type","box_only","night_drag_prawn","Many.Nasralas","Very_weak","Missing","Comments","Draging_time","Site","Direction","Lat_shore","Lon_shore","Perpendicular","Adom","Anshubi","Aras","Bakala","Barbon","Ben_Gurion","Box_General","Crab","Cristal","Daba","Denis","Farida","Fish","Gambari","Gerbida","Gitara","Gomber","Hazaim","Hazir","Hulim","Intias","Jelly_Fish","Kalamari","Lavan","Lokus","Lokus_manot","Makarunim","Malitta","Marmir","Musar","Muslach","Octepus","Palamud","Pas_Tzahov","Pijama","Rofus","Rofus_Fake","Sabida","Saragus","Sardin","Scombri","Shark","Shed.Yam","Soltan","Soltan_Fake","Soltan_Hul","Soltan_Mix","Special","Tarachun","Taref","Televisia","Trulus","Tziporot","Vak.Vak","Varod","Vest","Depth_m","Distance_from_shore_km","Depth_specifyed","Distance_specifyed","Location_specifyed","Lon_final","Lat_final","Depth_diff"
"1600",1600,2034,"2034_21_3_2016",2,0,"6","15",2016,3,21,"Levi","Herzelia S",NA,35,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,4.25,"Herzelia","S",32.17,34.8,298,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,63,NA,TRUE,TRUE,34.2085129001992,32.435334073151,NA
"1601",1601,739,"739_28_8_2014",16,0,NA,NA,2014,8,28,"Levi","Herzelia N",16,30,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,NA,"Herzelia","N",32.17,34.8,298,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8,54,TRUE,TRUE,TRUE,34.7756575559536,32.1810052092228,0.147731475569408
"1602",1602,362,"362_16_3_2014",10,30,"15","30",2014,3,16,"Levi","Herzelia S",110,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,5,"Herzelia","S",32.17,34.8,298,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,198,NA,TRUE,NA,TRUE,34.6097859940438,32.255800094767,2.17843461412002
"1603",1603,777,"777_14_9_2014",13,0,"16","30",2014,9,14,"Levi","Herzelia N",29.5,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,3.5,"Herzelia","N",32.17,34.8,298,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,53.1,NA,TRUE,NA,TRUE,34.7344493101115,32.1996186899981,0.0288848685308238
"1604",1604,1407,"1407_16_7_2015",6,15,"9","30",2015,7,16,"Michael","Herzelia N",22,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,3.25,"Herzelia","N",32.17,34.8,298,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,39.6,NA,TRUE,NA,TRUE,34.7503726662331,32.1924287160716,0.256887911211606
"1605",1605,285,"285_5_1_2014",14,45,"18","30",2014,1,5,"Levi","Herzelia S",115,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,3.75,"Herzelia","S",32.17,34.8,298,0,0,0,0,0,0,10,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,NA,TRUE,NA,TRUE,34.6050964110744,32.2579097684049,0.0793452524594045
"1606",1606,1389,"1389_11_7_2015",0,30,"5","30",2015,7,11,"Michael","Herzelia N",24.75,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,5,"Herzelia","N",32.17,34.8,298,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,44.55,NA,TRUE,NA,TRUE,34.7269550995065,32.2030015104546,0.124325942421805
"1607",1607,3572,"3572_22_3_2018",13,30,"17","0",2018,3,22,"Levi","Herzelia N",110,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,3.5,"Herzelia","N",32.17,34.8,298,0,0,0,30,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,23.3,0,0,0,0,198,NA,TRUE,NA,TRUE,34.6107238846087,32.2553781390661,2.17843461412002
"1608",1608,1669,"1669_17_10_2015",13,30,"18","0",2015,10,17,"Levi","Herzelia S",42,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,4.5,"Herzelia","S",32.17,34.8,298,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,75.6,NA,TRUE,NA,TRUE,34.7232077862142,32.2046927534374,0.251887945505601
"1609",1609,1729,"1729_4_11_2015",17,45,"0","0",2015,11,4,"Michael","Herzelia S",46,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,6.25,"Herzelia","S",32.17,34.8,298,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,82.8,NA,TRUE,NA,TRUE,34.6716681645799,32.2279360315699,0.285101221123156
"1610",1610,3569,"3569_21_3_2018",19,15,"0","0",2018,3,21,"Levi","Herzelia N",112,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,4.75,"Herzelia","N",32.17,34.8,298,0,0,0,20,0,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.6,NA,TRUE,NA,TRUE,34.6079101868853,32.256643985196,1.00393178857519
"1611",1611,2084,"2084_8_4_2016",9,0,"15","0",2016,4,8,"Levi","Herzelia S",80,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",TRUE,FALSE,NA,6,"Herzelia","S",32.17,34.8,298,0,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,144,NA,TRUE,NA,TRUE,34.6304175824013,32.2465154547714,1.26079425496604
