Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,night,Fish_gear,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Daba,Octepus,Adom,Hazaim,Lokus_manot,Soltan_Hul,Gerbid_new,barbon_vadim,Cristal,Kaptzon
46,,,,,1978,06,5,Shrot,keles,8,,,,FALSE,,FALSE,,FALSE,FALSE,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,12 Kg,,,,,FALSE,,,,,,,,,,
47,,,,,1978,06,05,Shrot,,,,,,FALSE,,FALSE,,FALSE,FALSE,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,18 Kg,,,,,FALSE,,,,,,,,,,
48,,,,,1978,06,05,Shrot,Borot,,,,,FALSE,,FALSE,,TRUE,FALSE,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,50 Kg,,,,,FALSE,,,,,,,,,,
49,,,,,1978,06,06,Shrot,Borot E,12,,,,FALSE,,FALSE,,FALSE,FALSE,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,
50,,,,,1978,06,06,Shrot,Borot E,8,,,,FALSE,,FALSE,,FALSE,FALSE,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,1 Kg,,,,,FALSE,,,,,,,,,,
51,22,00,05,00,1978,06,09,Levi,El Arish E,7,,,,FALSE,,FALSE,,FALSE,FALSE,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,12 Kg,,,,,FALSE,,,,,,,,,,
52,08,00,12,00,1978,06,10,Levi,El Arish W,16,,,,FALSE,,FALSE,,FALSE,FALSE,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,6,,,,,FALSE,,,,,,,,,,
53,17,00,05,00,1978,06,10,Levi,Borot E,12,,,,FALSE,,FALSE,,FALSE,FALSE,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,20 Kg,,,,,FALSE,,,,,,,,,,
54,05,30,,,1978,06,11,Levi,Borot E,8,,,,FALSE,,FALSE,,FALSE,FALSE,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,
55,13,30,,,1978,06,11,Levi,Borot,17,,,,FALSE,,FALSE,,FALSE,FALSE,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,5,,,,,FALSE,,,,,,,,,,
56,08,00,11,30,1978,06,12,Levi,Mistach,20,,,,FALSE,,FALSE,,FALSE,FALSE,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,
57,12,30,15,30,1978,06,12,Levi,Mistach E,,,,,FALSE,,FALSE,,FALSE,FALSE,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,
58,18,00,23,30,1978,06,12,Levi,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,15,,,,,FALSE,,,,,,,,,,
59,00,00,05,30,1978,06,13,Levi,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,15 Kg,,,,,FALSE,,,,,,,,,,
60,18,30,00,00,1978,06,13,Levi,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,15 Kg,,,,,FALSE,,,,,,,,,,
61,00,30,05,00,1978,06,14,Levi,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,10 Kg,,,,,FALSE,,,,,,,,,,
62,06,00,10,30,1978,06,14,Levi,Borot E,10,,,,FALSE,,FALSE,,FALSE,FALSE,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,12,,,,,FALSE,,,,,,,,,,
63,11,00,15,00,1978,06,14,Levi,Borot E,11,,,,FALSE,,FALSE,,FALSE,FALSE,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,8 +2 Ind,,,,,FALSE,,,,,,,,,,
64,16,00,18,30,1978,06,14,Levi,Borot W,11,,,,FALSE,,FALSE,,FALSE,FALSE,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,5 +2 Ind,,,,,FALSE,,,,,,,,,,
